RIC;ISIN;Company Common Name;TRBC Economic Sector Name;Country of Issuer
NB2.DE;DE000A0SMU87;Northern Data AG;Technology;Germany
HDDG.DE;DE0007314007;Heidelberger Druckmaschinen AG;Industrials;Germany
ZILGn.DE;DE0007856023;Elringklinger AG;Consumer Cyclicals;Germany
SGCG.DE;DE0007235301;SGL Carbon SE;Basic Materials;Germany
IFRX.O;NL0012661870;Inflarx NV;Healthcare;Germany
C0M.DE;DE000A2QDNX9;Compleo Charging Solutions AG;Industrials;Germany
IMUX.O;US4525EP1011;Immunic Inc;Healthcare;Germany
8TRA.DE;DE000TRAT0N7;Traton SE;Industrials;Germany
ADE.DE;DE000A1TNV91;Bitcoin Group SE;Financials;Germany
YOUG.DE;DE000A3CNK42;ABOUT YOU Holding SE;Consumer Cyclicals;Germany
SATG.DE;DE0007165607;Sartorius AG;Healthcare;Germany
IMTX.O;NL0015285941;Immatics NV;Healthcare;Germany
GFTG.DE;DE0005800601;GFT Technologies SE;Technology;Germany
ADAG.DE;DE0005103006;ADVA Optical Networking SE;Technology;Germany
F3CG.DE;DE0007568578;SFC Energy AG;Energy;Germany
WACGn.DE;DE000WACK012;Wacker Neuson SE;Industrials;Germany
YSNG.DE;DE0007276503;Secunet Security Networks AG;Technology;Germany
ST5G.DE;DE000A0LR936;Steico SE;Basic Materials;Germany
HBMG.DE;DE0006084403;Hornbach Baumarkt AG;Consumer Cyclicals;Germany
AOFG.DE;DE0005104400;Atoss Software AG;Technology;Germany
SYAB.DE;DE000A2TSL71;Synlab AG;Healthcare;Germany
CWCG.DE;DE0005403901;Cewe Stiftung & Co KGaA;Industrials;Germany
M5ZG.DE;DE000A0JQ5U3;Manz AG;Technology;Germany
HABAn.DE;DE000A3H2333;Hamborner REIT AG;Real Estate;Germany
SFQ.DE;DE000SAFH001;Saf-Holland Se;Consumer Cyclicals;Germany
WAFGn.DE;DE000WAF3001;Siltronic AG;Technology;Germany
HHFGn.DE;DE000A0S8488;Hamburger Hafen und Logistik AG;Industrials;Germany
SLTG.DE;DE000A2NBTL2;Schaltbau Holding AG;Industrials;Germany
AMDG.DE;DE0005093108;Amadeus Fire AG;Industrials;Germany
INS2.DE;DE000A2NBX80;Instone Real Estate Group SE;Real Estate;Germany
PATGn.DE;DE000PAT1AG3;Patrizia AG;Real Estate;Germany
NN6G.DE;DE0006577109;Nanorepro AG;Healthcare;Germany
ADLG.DE;DE0005008007;Adler Real Estate AG;Real Estate;Germany
VIH1n.DE;DE000A2YPDD0;VIB Vermoegen AG;Real Estate;Germany
SBSG.DE;DE000STRA555;Stratec SE;Healthcare;Germany
UBKG.DE;DE0005570808;Umweltbank AG;Financials;Germany
EKTG.DE;DE0005313506;Energiekontor AG;Utilities;Germany
AM3D.DE;DE000A111338;SLM Solutions Group AG;Industrials;Germany
EXLn.DE;DE000A0LR9G9;Exasol AG;Industrials;Germany
JSTG.DE;DE000JST4000;JOST Werke AG;Consumer Cyclicals;Germany
MLPG.DE;DE0006569908;MLP SE;Financials;Germany
VVY.AS;NL00150002Q7;Vivoryon Therapeutics NV;Healthcare;Germany
DBANn.DE;DE000A1TNUT7;Deutsche Beteiligungs AG;Financials;Germany
DICn.DE;DE000A1X3XX4;DIC Asset AG;Real Estate;Germany
VQTG.DE;DE0006636681;va Q tec AG;Consumer Cyclicals;Germany
BSLG.DE;DE0005102008;Basler AG;Technology;Germany
IBU.DE;DE000A0XYHT5;IBU tec advanced materials AG;Industrials;Germany
MBBG.DE;DE000A0ETBQ4;MBB SE;Industrials;Germany
NXUG.DE;DE0005220909;Nexus AG;Technology;Germany
DR0G.DE;DE000A0XYG76;Deutsche Rohstoff AG;Basic Materials;Germany
N4G.DE;DE000A161NR7;Naga Group AG;Technology;Germany
HAGG.DE;DE000HAG0005;Hensoldt AG;Industrials;Germany
AAGG.DE;DE000A2DAM03;Aumann AG;Industrials;Germany
HOC.DE;DE0005495329;Holidaycheck Group AG;Consumer Cyclicals;Germany
